Confirmed,Hospitalization_Rate,Mortality_Rate,Province_State,X,Y
3667,12.26494527,2.610159978,Alabama,2.610159978,3667
3870,12.23888591,2.651312266,Alabama,2.651312266,3870
4041,12.4715406,2.883885656,Alabama,2.883885656,4041
4307,12.88343558,2.895705521,Alabama,2.895705521,4307
4465,12.72727273,3.060989643,Alabama,3.060989643,4465
4557,12.99496828,3.237803544,Alabama,3.237803544,4557
4788,13.15789474,3.247028862,Alabama,3.247028862,4788
4978,13.11374795,3.211947627,Alabama,3.211947627,4978
5163,12.62059461,3.209293168,Alabama,3.209293168,5163
5404,13.14651119,3.441790483,Alabama,3.441790483,5404
5692,13.05202932,3.504380476,Alabama,3.504380476,5692
5899,13.16872428,3.463648834,Alabama,3.463648834,5899
6092,12.76136741,3.468304016,Alabama,3.468304016,6092
6274,13.92300033,3.468304016,Alabama,3.468304016,6274
6475,13.15994393,3.410683694,Alabama,3.410683694,6475
6621,13.33537238,3.486771678,Alabama,3.486771678,6621
6820,13.4962963,3.585185185,Alabama,3.585185185,6820
6979,13.671875,3.703703704,Alabama,3.703703704,6979
7187,13.7979684,3.837471783,Alabama,3.837471783,7187
7440,13.81957774,3.96216068,Alabama,3.96216068,7440
7700,13.44107213,3.783996847,Alabama,3.783996847,7700
7977,13.12119675,3.676470588,Alabama,3.676470588,7977
8203,13.11637081,3.67357002,Alabama,3.67357002,8203
8520,13.12077753,3.733554581,Alabama,3.733554581,8520
8769,13.32412841,3.946611437,Alabama,3.946611437,8769
9115,13.02233031,4.079151006,Alabama,4.079151006,9115
9437,12.86094832,4.080980288,Alabama,4.080980288,9437
9720,12.70169632,4.033926355,Alabama,4.033926355,9720
9982,12.53918495,3.97411265,Alabama,3.97411265,9982
10262,12.35733963,3.96497442,Alabama,3.96497442,10262
10566,12.29931193,4.157110092,Alabama,4.157110092,10566
10822,12.30841121,4.205607477,Alabama,4.205607477,10822
11161,12.16106657,4.260877398,Alabama,4.260877398,11161
11494,12.10762332,4.246900554,Alabama,4.246900554,11494
11828,11.88110331,4.154531437,Alabama,4.154531437,11828
12137,11.82567326,4.145782007,Alabama,4.145782007,12137
12438,11.71603508,4.046003641,Alabama,4.046003641,12438
12825,11.74046542,4.07239819,Alabama,4.07239819,12825
13186,11.43885994,3.999387067,Alabama,3.999387067,13186
13590,11.49909693,3.981035521,Alabama,3.981035521,13590
13954,11.41916606,3.957571324,Alabama,3.957571324,13954
14328,11.25593256,3.888928243,Alabama,3.888928243,14328
14676,11.13413455,3.805774278,Alabama,3.805774278,14676
15309,10.87014547,3.776858401,Alabama,3.776858401,15309
15899,10.67731629,3.706070288,Alabama,3.706070288,15899
16263,10.72230539,3.636477046,Alabama,3.636477046,16263
16749,10.67755596,3.575317604,Alabama,3.575317604,16749
17262,10.56896248,3.581703952,Alabama,3.581703952,17262
17689,10.51903912,3.56011291,Alabama,3.56011291,17689
18200,10.27183601,3.509358289,Alabama,3.509358289,18200
18525,9.962426194,3.467525497,Alabama,3.467525497,18525
18734,10.01278909,3.479697325,Alabama,3.479697325,18734
18954,10.0790409,3.464007214,Alabama,3.464007214,18954
19262,10.11430369,3.42386745,Alabama,3.42386745,19262
19910,10.05312839,3.486872647,Alabama,3.486872647,19910
20355,9.943621214,3.43760914,Alabama,3.43760914,20355
20777,9.863414634,3.375609756,Alabama,3.375609756,20777
21268,9.816009558,3.43130227,Alabama,3.43130227,21268
21834,9.742320978,3.4030436,Alabama,3.4030436,21834
22659,9.682113784,3.383509937,Alabama,3.383509937,22659
23370,9.476909608,3.304880718,Alabama,3.304880718,23370
24405,9.287220582,3.243357233,Alabama,3.243357233,24405
25364,9.109385797,3.142148693,Alabama,3.142148693,25364
26182,8.803435487,3.017763029,Alabama,3.017763029,26182
26485,8.598507917,2.946102314,Alabama,2.946102314,26485
27034,8.602110583,2.916914388,Alabama,2.916914388,27034
27941,8.611599297,2.892501465,Alabama,2.892501465,27941
28676,8.413103595,2.871729419,Alabama,2.871729419,28676
29225,8.330459968,2.834287291,Alabama,2.834287291,29225
29683,8.26762327,2.835967376,Alabama,2.835967376,29683
30122,8.194264015,2.794710369,Alabama,2.794710369,30122
30771,8.113876666,2.761541998,Alabama,2.761541998,30771
31889,8.10689134,2.778403061,Alabama,2.778403061,31889
32878,8.005863273,2.778817365,Alabama,2.778817365,32878
33880,7.866048305,2.698307535,Alabama,2.698307535,33880
34903,7.761167832,2.653365708,Alabama,2.653365708,34903
35083,7.687483967,2.619502323,Alabama,2.619502323,35083
36503,7.626759967,2.593041957,Alabama,2.593041957,36503
37589,7.330195024,2.498991258,Alabama,2.498991258,37589
38477,7.278223157,2.497042975,Alabama,2.497042975,38477
39647,7.19418921,2.494738463,Alabama,2.494738463,39647
41340,7.067886615,2.455685473,Alabama,2.455685473,41340
42255,6.886420638,2.402961901,Alabama,2.402961901,42255
43216,6.779898278,2.349400401,Alabama,2.349400401,43216
44022,6.618433327,2.291083658,Alabama,2.291083658,44022
44932,6.493159232,2.243861135,Alabama,2.243861135,44932
46348,6.467183575,2.256197445,Alabama,2.256197445,46348
48149,6.400919893,2.252885312,Alabama,2.252885312,48149
49695,6.180095172,2.171879448,Alabama,2.171879448,49695
51329,6.115862834,2.18579235,Alabama,2.18579235,51329
